Pp,_,Lc,_,_,_,_;Aj,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;8299
Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;PM,Nt,Tr;5606
Pp,_,Ac,_,_,_,_;Aj,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;4969
Nn,_,Gn,_,_,_,_;Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;4762
Pp,_,Gn,_,_,_,_;Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;4165
Pp,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;Nn,_,Gn,_,_,_,_;4048
Nn,_,Nm,_,_,_,_;PM,Nt,Tr;Nn,_,Nm,_,_,_,_;3868
Aj,_,Nm,_,_,_,_;Nn,_,Nm,_,_,_,_;PM,Nt,Tr;3644
Nn,_,Nm,_,_,_,_;Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;3263
Aj,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;PM,Nt,Tr;3212
Aj,_,Gn,_,_,_,_;Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;3042
Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;2983
PM,Nt,Tr;Aj,_,Nm,_,_,_,_;Nn,_,Nm,_,_,_,_;2966
Cj,_,_,_,_,_,_;Aj,_,Nm,_,_,_,_;Nn,_,Nm,_,_,_,_;2934
Nn,_,Gn,_,_,_,_;Pp,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;2778
Nn,_,Gn,_,_,_,_;Cj,_,_,_,_,_,_;Nn,_,Gn,_,_,_,_;2733
Nn,_,Ac,_,_,_,_;Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;2691
Aj,_,Nm,_,_,_,_;Aj,_,Nm,_,_,_,_;Nn,_,Nm,_,_,_,_;2460
Nn,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;PM,Nt,Tr;2432
Pp,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;PM,Nt,Tr;2396
PM,Nt,Tr;Nn,_,Nm,_,_,_,_;PM,Nt,Tr;2392
Pp,_,Ab,_,_,_,_;Aj,_,Ab,_,_,_,_;Nn,_,Ab,_,_,_,_;2389
Aj,_,Nm,_,_,_,_;Nn,_,Nm,_,_,_,_;Nn,_,Gn,_,_,_,_;2374
Nn,_,Lc,_,_,_,_;Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;2250
Pp,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;Aj,_,Gn,_,_,_,_;2240
Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;PM,Tr,_;2227
Pp,_,Dt,_,_,_,_;Aj,_,Dt,_,_,_,_;Nn,_,Dt,_,_,_,_;2206
Nn,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;2204
Nn,_,Gn,_,_,_,_;PM,Nt,Tr;Nn,_,Gn,_,_,_,_;2137
Aj,_,Ac,_,_,_,_;Aj,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;2092
Pp,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;Nn,_,Gn,_,_,_,_;2067
Pp,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;2063
Zr,_,_,_,_,_,_;PM,Nt,Tr;Zr,_,_,_,_,_,_;1969
Nn,_,Gn,_,_,_,_;PM,Nt,Tr;Nn,_,Nm,_,_,_,_;1889
Aj,_,Nm,_,_,_,_;Nn,_,Nm,_,_,_,_;Vb,_,_,_,_,_,Im;1859
Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;Cj,_,_,_,_,_,_;1834
PM,Nt,Tr;Ad,_,_,_,_,_,_;PM,Nt,Tr;1735
Nn,_,Gn,_,_,_,_;PM,Nt,Tr;Cj,_,_,_,_,_,_;1657
PM,Nt,Tr;Zr,_,_,_,_,_,_;PM,Nt,Tr;1646
PM,Nt,Tr;Pp,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;1642
Aj,_,Ab,_,_,_,_;Nn,_,Ab,_,_,_,_;PM,Nt,Tr;1630
Vb,_,_,_,_,_,Im;Pp,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;1624
Nn,_,Nm,_,_,_,_;Cj,_,_,_,_,_,_;Nn,_,Nm,_,_,_,_;1621
Aj,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;Nn,_,Gn,_,_,_,_;1612
Aj,_,Lc,_,_,_,_;Nn,_,Lc,_,_,_,_;PM,Nt,Tr;1612
Vb,_,_,_,_,_,Im;Aj,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;1608
Cj,_,_,_,_,_,_;Aj,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;1570
Pp,_,Ac,_,_,_,_;Nn,_,Ac,_,_,_,_;PM,Nt,Tr;1568
Pp,_,Gn,_,_,_,_;Nn,_,Gn,_,_,_,_;PM,Nt,Tr;1563
PM,Nt,Tr;Pp,_,Lc,_,_,_,_;Aj,_,Lc,_,_,_,_;1540
Vb,_,_,_,_,_,Im;Aj,_,Nm,_,_,_,_;Nn,_,Nm,_,_,_,_;1515
